station_id,borrow_count,return_count
31225.0,1686,1957
31226.0,984,963
31227.0,911,1045
31228.0,1936,2211
31229.0,4151,3952
31230.0,1385,1680
31231.0,1078,1200
31232.0,1427,1576
31233.0,1424,1550
31234.0,1531,1585
31235.0,769,850
31236.0,2467,2399
31237.0,1636,1645
31238.0,999,1126
31239.0,974,982
31240.0,1393,1417
31241.0,1855,1702
31242.0,901,900
31243.0,1614,1696
31244.0,1080,1129
31245.0,1570,1567
31246.0,1941,2176
31247.0,2727,3097
31248.0,2680,2752
31249.0,2771,2832
31250.0,929,972
31251.0,1331,1357
31252.0,628,639
31253.0,702,793
31254.0,707,775
31255.0,720,721
31256.0,908,921
31257.0,1705,1707
31258.0,2781,2835
31259.0,364,344
31260.0,752,740
31261.0,363,388
31262.0,711,891
31263.0,1156,1173
31264.0,1067,1133
31265.0,1619,1679
31266.0,2250,2293
31267.0,1274,1212
31268.0,1046,789
31269.0,1325,1300
31270.0,839,952
31271.0,1457,1475
31272.0,1235,1308
31273.0,1374,1354
31274.0,807,1040
31275.0,1477,1524
31276.0,948,1047
31277.0,1431,1483
31278.0,1839,1839
31279.0,806,780
31280.0,1696,1595
31281.0,2490,2459
31282.0,1518,1530
31283.0,1005,1015
31284.0,521,542
31285.0,1570,1598
31286.0,1517,1344
31287.0,707,715
31288.0,2614,2660
31289.0,2259,2255
31290.0,2181,2154
31291.0,1196,1250
31292.0,773,753
31293.0,875,1111
31294.0,547,595
31295.0,1814,1843
31296.0,1861,1752
31297.0,1061,1079
31298.0,1144,1105
31299.0,1621,1601
31300.0,420,420
31301.0,490,367
31302.0,728,659
31303.0,659,543
31304.0,492,415
31305.0,449,415
31306.0,772,691
31307.0,693,653
31308.0,205,155
31309.0,140,114
31310.0,314,301
31311.0,1822,1648
31312.0,1704,1730
31313.0,253,221
31314.0,644,848
31315.0,135,149
31316.0,64,47
31317.0,116,108
31318.0,298,297
31319.0,214,170
31320.0,541,407
31321.0,1520,1564
31322.0,188,174
31323.0,1270,1077
31324.0,2114,2069
31325.0,1183,1153
31326.0,400,400
31327.0,1684,1708
31328.0,1243,1196
31329.0,13,15
31330.0,2274,2213
31331.0,144,129
31332.0,1120,1087
31333.0,283,204
31334.0,111,105
31335.0,610,775
31336.0,1576,1561
31337.0,558,619
31338.0,565,562
31339.0,545,463
31340.0,219,188
31380.0,28,22
31381.0,2,6
31383.0,18,16
31385.0,5,9
31386.0,38,36
31387.0,3,4
31389.0,44,43
31390.0,98,80
31391.0,262,225
31392.0,354,343
31393.0,479,461
31394.0,231,205
31395.0,209,197
31396.0,17,14
31398.0,31,32
31399.0,17,18
31400.0,836,877
31401.0,1199,1215
31402.0,191,209
31403.0,196,199
31404.0,731,748
31405.0,148,124
31406.0,377,354
31407.0,253,271
31408.0,534,490
31411.0,218,228
31412.0,107,134
31413.0,193,177
31414.0,132,126
31415.0,113,102
31416.0,102,114
31417.0,493,451
31418.0,324,270
31419.0,1200,1185
31420.0,180,129
31421.0,557,434
31422.0,101,93
31423.0,172,146
31424.0,188,239
31425.0,261,239
31426.0,575,442
31427.0,27,28
31428.0,25,28
31429.0,398,401
31500.0,419,452
31501.0,174,197
31502.0,206,206
31503.0,1342,1239
31504.0,322,253
31505.0,1457,1435
31506.0,1648,1591
31507.0,488,364
31508.0,322,338
31509.0,1151,1123
31510.0,79,83
31511.0,320,302
31512.0,464,480
31513.0,247,215
31514.0,571,564
31515.0,581,577
31516.0,360,362
31517.0,1073,1056
31518.0,794,803
31519.0,1192,1131
31520.0,442,450
31521.0,67,58
31522.0,631,611
31523.0,583,557
31524.0,648,688
31525.0,265,305
31526.0,88,85
31527.0,824,836
31528.0,220,175
31529.0,547,537
31530.0,195,208
31531.0,1329,1397
31532.0,2407,2389
31533.0,1498,1502
31534.0,590,556
31535.0,180,170
31536.0,1274,1272
31537.0,35,46
31538.0,41,31
31539.0,15,20
31540.0,1080,1084
31541.0,281,297
31542.0,73,70
31543.0,51,70
31544.0,22,37
31545.0,47,51
31546.0,57,59
31600.0,3405,3425
31601.0,512,551
31602.0,1683,1085
31603.0,3150,3222
31604.0,1256,1253
31605.0,987,961
31606.0,807,779
31607.0,341,351
31608.0,533,542
31609.0,1775,1889
31610.0,1461,1422
31611.0,1618,1577
31612.0,1240,1207
31615.0,2243,2226
31616.0,1524,1561
31617.0,235,271
31618.0,1263,1233
31619.0,1518,1480
31620.0,860,992
31621.0,507,491
31622.0,1028,1030
31623.0,4994,4880
31624.0,1236,1315
31625.0,1129,1157
31626.0,577,569
31627.0,2796,2892
31628.0,1837,1872
31629.0,585,574
31630.0,664,680
31631.0,1184,1191
31632.0,755,768
31633.0,957,970
31634.0,907,984
31635.0,543,545
31636.0,1025,1004
31637.0,642,611
31638.0,732,791
31639.0,1464,1497
31640.0,1132,1101
31641.0,1728,1701
31642.0,894,926
31643.0,1221,1213
31644.0,546,523
31645.0,720,736
31646.0,1763,1926
31647.0,810,647
31648.0,402,485
31649.0,712,684
31650.0,984,1152
31651.0,1264,1251
31652.0,964,1056
31653.0,1754,1858
31654.0,275,328
31655.0,1582,1706
31656.0,516,545
31657.0,876,860
31658.0,313,324
31659.0,564,565
31660.0,600,626
31661.0,795,851
31662.0,2149,2172
31663.0,770,767
31664.0,513,507
31665.0,246,221
31666.0,1322,1425
31667.0,547,568
31668.0,795,799
31669.0,690,758
31670.0,900,1008
31671.0,7,4
31672.0,796,800
31673.0,344,393
31674.0,767,858
31675.0,608,636
31676.0,345,389
31677.0,858,888
31678.0,540,562
31680.0,656,698
31699.0,3675,3601
31700.0,32,29
31701.0,54,56
31702.0,28,28
31703.0,50,62
31704.0,17,13
31705.0,33,53
31706.0,13,10
31707.0,50,49
31708.0,109,114
31710.0,15,16
31711.0,16,12
31712.0,442,451
31713.0,16,18
31714.0,11,14
31715.0,33,47
