station_id,station,Max_Positive,Min_Negative,Required_Docks_Est
31259.0,20th St & Virginia Ave NW,11,-30,41
31336.0,9th & N St NW ,16,-25,41
31201.0,15th & P St NW,7,-33,40
32025.0,Carroll & Westmoreland Ave,1,-39,40
31637.0,North Capitol St & G Pl NE,9,-31,40
31677.0,1st & L St NW,35,-5,40
31289.0,Henry Bacon Dr & Lincoln Memorial Circle NW,25,-15,40
31617.0,Bladensburg Rd & Benning Rd NE,40,0,40
31500.0,4th & W St NE,37,-2,39
31406.0,14th & Upshur St NW,7,-31,38
31282.0,16th & R St NW,23,-15,38
31541.0,10th & Quincy St NE / Turkey Thicket Rec,33,-5,38
31631.0,8th & F St NE,23,-15,38
31618.0,4th & East Capitol St NE,2,-36,38
31532.0,4th & Florida Ave NE,14,-24,38
31112.0,Harvard St & Adams Mill Rd NW,3,-35,38
31970.0,First St & Fayette St,5,-32,37
31305.0,Connecticut Ave & Macomb St NW / Cleveland Park,2,-35,37
31002.0,Crystal Dr & 20th St S,21,-16,37
31260.0,23rd & E St NW ,21,-16,37
31278.0,18th & R St NW,17,-20,37
31978.0,Arlington National Cemetery,12,-25,37
31667.0,2nd & V St SW / James Creek Marina,23,-14,37
31527.0,North Capitol & R St NE,25,-11,36
31093.0,21st St & N Pierce St,5,-31,36
31536.0,5th & Morse St NE,29,-7,36
31514.0,Hamlin & 7th St NE,0,-36,36
31393.0,Wisconsin Ave & Upton St NW,14,-22,36
31633.0,Independence Ave & L'Enfant Plaza SW/DOE,26,-10,36
31204.0,20th & E St NW,12,-23,35
31255.0,24th & N St NW,20,-15,35
31903.0,Royal St & Wilkes St,32,-3,35
31297.0,Virginia Ave & 25th St NW,28,-7,35
31052.0,Potomac Ave & 35th St S,29,-6,35
31968.0,King St & N Pitt St,29,-5,34
31517.0,Union Market,8,-26,34
31520.0,24th & R St NE / National Arboretum,26,-7,33
31412.0,3rd St & Riggs Rd NE,29,-4,33
31657.0,Massachusetts Ave & 6th St NE,1,-32,33
31340.0,North Capitol & Douglas St NW / Reservoir Park Rec ,1,-32,33
31071.0,Eads St & 12th St S,25,-8,33
31220.0,21st & E St NW,14,-19,33
31287.0,10th St & L'Enfant Plaza SW,21,-12,33
31632.0,15th & F St NE,15,-18,33
31310.0,Connecticut & Nebraska Ave NW,15,-18,33
31285.0,22nd & P ST NW,31,-1,32
31940.0,Arlington Blvd & Fairfax Dr,30,-2,32
31261.0,Virginia Ave & C St NW,31,-1,32
31423.0,Kansas Ave & Longfellow St NW,3,-29,32
31630.0,15th & East Capitol St NE,21,-11,32
31140.0,21st & L St NW ,32,0,32
31533.0,Tanner Park,13,-19,32
31907.0,Franklin St & S Washington St,31,-1,32
31299.0,Connecticut Ave & R St NW,8,-23,31
31100.0,19th St & Pennsylvania Ave NW,19,-12,31
32053.0,Medical Center Metro ,2,-29,31
31621.0,4th & D St NW / Judiciary Square,9,-22,31
31064.0,Gravelly Point,31,0,31
31029.0,N Veitch St & 20th St N,7,-24,31
31080.0,Langston Blvd & N Scott St,3,-28,31
31664.0,Half & Water St SW,6,-25,31
31043.0,St Asaph & Pendleton St,29,-2,31
31920.0,Washington-Liberty High School / N Stafford St & Generals Way,22,-8,30
31138.0,4th & College St NW,7,-23,30
31518.0,New York Ave & Hecht Ave NE,23,-7,30
31660.0,7th & K St NE,26,-4,30
31038.0,Glebe Rd & 11th St N,8,-22,30
31645.0,6th & K St NE,19,-11,30
31283.0,14th & L St NW,28,-2,30
31211.0,Kennedy Center,27,-3,30
