station_id,capacity,docks_total,diff_net,ape_net,capacity_calib,diff_calib,ape_calib
31224,68,8,60,750.0,11.477595829866468,3.477595829866468,43.46994787333085
31225,275,15,260,1733.3333333333333,19.909493461854353,4.909493461854353,32.729956412362355
31226,45,5,40,800.0,10.540718315201147,5.540718315201147,110.81436630402295
31227,155,25,130,520.0,15.021436863600506,-9.978563136399494,39.914252545597975
31228,298,30,268,893.3333333333334,20.846370976519673,-9.153629023480327,30.512096744934425
31229,217,1,216,21600.0,17.546932772698327,16.546932772698327,1654.6932772698326
31230,300,17,283,1664.7058823529412,20.927838586490573,3.927838586490573,23.10493286170925
31231,134,13,121,930.7692307692308,14.166026958906084,1.1660269589060839,8.969438145431415
31232,156,20,136,680.0,15.062170668585956,-4.937829331414044,24.689146657070218
31233,155,34,121,355.88235294117646,15.021436863600506,-18.978563136399494,55.81930334235145
31234,78,30,48,160.0,11.884933879720956,-18.115066120279046,60.38355373426349
31235,88,31,57,183.8709677419355,12.292271929575442,-18.707728070424558,60.347509904595356
31236,86,12,74,616.6666666666667,12.210804319604545,0.21080431960454504,1.7567026633712086
31238,133,23,110,478.2608695652174,14.125293153920635,-8.874706846079365,38.5856819394755
31239,54,19,35,184.21052631578948,10.907322560070186,-8.092677439929814,42.59303915752534
31240,48,25,23,92.0,10.662919730157494,-14.337080269842506,57.348321079370024
31241,173,10,163,1630.0,15.754645353338585,5.754645353338585,57.54645353338586
31242,56,22,34,154.54545454545453,10.988790170041083,-11.011209829958917,50.05095377254053
31243,132,42,90,214.28571428571428,14.084559348935187,-27.915440651064813,66.46533488348764
31244,55,14,41,292.85714285714283,10.948056365055635,-3.051943634944365,21.799597392459752
31245,45,1,44,4400.0,10.540718315201147,9.540718315201147,954.0718315201148
31247,300,13,287,2207.6923076923076,20.927838586490573,7.927838586490573,60.98337374223518
31248,117,11,106,963.6363636363636,13.473552274153455,2.4735522741534552,22.4868388559405
31249,85,7,78,1114.2857142857142,12.170070514619097,5.170070514619097,73.85815020884424
31250,62,17,45,264.70588235294116,11.233192999953776,-5.766807000046224,33.92239411791897
31251,43,11,32,290.90909090909093,10.45925070523025,-0.5407492947697499,4.915902679724999
