X,Y,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID
-8579239.95206458,4716771.26438512,Broad Branch Rd & Northampton St NW,classic,68eaf9f5-7b2d-4f60-9f02-9f5ba1103f80,,2025/07/27 04:41:53+00,16,0,2,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,"Washington, DC",,38.965775,-77.068626,2025/07/27 04:42:29+00,279556474
-8566036.63238229,4704946.13555527,37th & Ely Pl SE,classic,ee2cb739-9118-4069-b4f7-435ef53db537,,2025/07/27 04:40:57+00,10,0,5,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,"Washington, DC",,38.883132,-76.950009,2025/07/27 04:42:29+00,279556475
-8554153.6290942,4708558.39937782,1301 McCormick Dr / Wayne K. Curry Admin Bldg,classic,987decdd-577d-4614-a6eb-307944a634b4,,2025/07/27 04:40:57+00,13,0,1,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",133,Prince George's County,,38.908391,-76.843263,2025/07/27 04:42:29+00,279556476
-8574249.56413706,4711381.55876404,Columbia Rd & Georgia Ave NW,classic,0825164b-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:41:01+00,13,0,12,2,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,27,"KEY,CREDITCARD",42,"Washington, DC",,38.928121,-77.023795,2025/07/27 04:42:29+00,279556477
-8572750.87233379,4695792.22195598,Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,classic,7c46ff05-4fca-44e6-a50b-acbc57e8100b,,2025/07/27 04:41:11+00,4,0,9,4,2,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,"Washington, DC",,38.81909,-77.01033,2025/07/27 04:42:29+00,279556478
-8566569.67186458,4716766.44850661,Prince George's Plaza Metro,classic,ebbf6e18-684d-4fc9-ad4d-c025b8d76556,,2025/07/27 04:41:10+00,16,0,1,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,17,"KEY,CREDITCARD",133,Prince George's County,,38.965742,-76.954803,2025/07/27 04:42:29+00,279556479
-8574733.06604453,4709759.91691882,12th & U St NW,classic,08256670-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:41:08+00,25,0,6,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,31,"KEY,CREDITCARD",42,"Washington, DC",,38.916787,-77.028139,2025/07/27 04:42:29+00,279556480
-8601991.38101392,4703534.00637588,Vaden Dr & Royal Victoria Dr/Jim Scott Cmty Ctr,classic,f08db1df-054a-46c8-a3e1-b349f2a26d5e,,2025/07/27 04:41:08+00,11,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",104,"Fairfax, VA",,38.873261,-77.272999,2025/07/27 04:42:29+00,279556481
-8575239.70943853,4712281.05110768,14th & Otis Pl NW,classic,2a43f4e2-4102-482e-8879-245cf7555c6b,,2025/07/27 04:41:07+00,11,0,12,7,3,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,27,"KEY,CREDITCARD",42,"Washington, DC",,38.934405,-77.032687,2025/07/27 04:42:29+00,279556482
-8578726.76424957,4699269.4073162,Mount Vernon Ave & Four Mile Run Park,classic,08262494-1f3f-11e7-bf6b-3863bb334450,,2025/07/27 04:41:09+00,13,0,1,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",40,"Alexandria, VA",,38.843422,-77.064016,2025/07/27 04:42:29+00,279556483
