station_id,capacity_peak,station_name,docks_total,diff_peak,ape_peak
31945,2,Columbia Pike & S Greenbrier St,14,-12,85.71428571428571
31946,2,Kenmore Ave & Seminary Rd,7,-5,71.42857142857143
31947,17,Rosslyn Metro / Wilson Blvd & N Moore St,20,-3,15.0
31948,3,W&OD Trail & Langston Blvd,9,-6,66.66666666666666
31950,9,Long Bridge Aquatic Center,9,0,0.0
31951,4,8th Rd & S Frederick St,9,-5,55.55555555555556
31952,2,N Howard St & N Imboden St,13,-11,84.61538461538461
31953,2,S Pickett St & Shillings St,3,-1,33.33333333333333
31954,2,S Jordan St & Venable St,7,-5,71.42857142857143
31955,4,King St & Peyton St,12,-8,66.66666666666666
31956,3,Reed & Edison,2,1,50.0
31957,2,King St & Kenwood Ave,13,-11,84.61538461538461
31958,3,S Washington St & Wilkes St,5,-2,40.0
31959,6,Main Line Blvd & E Glebe,12,-6,50.0
31960,4,Commonwealth and Reed,5,-1,20.0
31961,3,Fillmore & Bisdorf,8,-5,62.5
31962,2,King St & W Braddock Rd,5,-3,60.0
31963,4,Holmes Run Pkwy & N Pickett St,10,-6,60.0
31964,2,Virginia Theological Seminary,9,-7,77.77777777777779
31966,2,Duke St & Jordan St,8,-6,75.0
31967,2,S Reynolds St & Edsall Rd,9,-7,77.77777777777779
31968,10,King St & N Pitt St,2,8,400.0
31969,9,Braddock Rd Metro South,19,-10,52.63157894736842
31970,5,First St & Fayette St,13,-8,61.53846153846154
31971,3,S Wayne St and 9th St S,9,-6,66.66666666666666
31972,6,S Wakefield St & 28th St S,9,-3,33.33333333333333
31973,4,N Pershing Dr & N Quebec St,5,-1,20.0
31974,7,Mandeville Ln & Stovall St,4,3,75.0
31976,2,Virginia Hospital Center,7,-5,71.42857142857143
31977,3,Marymount University / Yorktown Blvd & 26th St N,10,-7,70.0
31978,28,Arlington National Cemetery,1,27,2700.0
31979,7,Potomac Yard Metro South,8,-1,12.5
31981,6,Columbia Pike & W&OD Trail ,11,-5,45.45454545454545
32000,5,Norfolk Ave & Fairmont St,8,-3,37.5
32001,5,Fenton St & New York Ave ,8,-3,37.5
32002,6,Bethesda Ave & Arlington Rd,10,-4,40.0
32003,3,Montgomery Ave & Waverly St ,3,0,0.0
32005,2,Traville Gateway Dr & Gudelsky Dr,8,-6,75.0
32006,3,13th St & Eastern Ave,9,-6,66.66666666666666
32008,4,Cordell & Norfolk Ave,8,-4,50.0
32009,2,Frederick Ave & Horners Ln,7,-5,71.42857142857143
32012,5,Silver Spring Metro / Colesville Rd & Wayne Ave,16,-11,68.75
32014,5,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,17,-12,70.58823529411765
32017,3,Monroe St & Monroe Pl,10,-7,70.0
32018,2,Needwood Rd & Eagles Head Ct,12,-10,83.33333333333334
32019,4,East West Hwy & Blair Mill Rd,2,2,100.0
32021,5,47th & Elm St,14,-9,64.28571428571429
32022,3,Dennis Ave & Amherst Ave,9,-6,66.66666666666666
32023,3,Montgomery College / W Campus Dr & Mannakee St,14,-11,78.57142857142857
32024,3,Fenton St & Gist Ave,3,0,0.0
32025,5,Carroll & Westmoreland Ave,3,2,66.66666666666666
32026,4,Carroll & Ethan Allen Ave,6,-2,33.33333333333333
32027,5,Battery Ln & Trolley Trail,9,-4,44.44444444444444
32028,3,Norfolk & Rugby Ave,8,-5,62.5
32029,4,Offutt Ln & Chevy Chase Dr,7,-3,42.857142857142854
32032,2,Fleet St & Ritchie Pkwy,11,-9,81.81818181818183
32034,3,Silver Spring Transit Center - Top Level,14,-11,78.57142857142857
32036,4,Fenton St & Ellsworth Dr ,13,-9,69.23076923076923
32037,3,King Farm Blvd & Pleasant Dr,10,-7,70.0
32038,2,King Farm Blvd & Piccard Dr,14,-12,85.71428571428571
32039,3,Old Georgetown Rd & Southwick St,13,-10,76.92307692307693
32040,3,Friendship Blvd & Willard Ave,12,-9,75.0
32043,3,Veterans Pl & Pershing Dr ,6,-3,50.0
32044,2,Rockville Metro East,9,-7,77.77777777777779
32045,3,Shady Grove Metro West,18,-15,83.33333333333334
32046,7,River Rd & Landy Ln,13,-6,46.15384615384615
32047,2,Rockville Metro West,16,-14,87.5
32048,5,Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,6,-1,16.666666666666664
32049,5,WAU / Flower Ave & Division St,2,3,150.0
32050,2,Spring St & 2nd Ave,5,-3,60.0
32051,4,Connecticut Ave & Chevy Chase Lake Dr,12,-8,66.66666666666666
32053,3,Medical Center Metro ,14,-11,78.57142857142857
32054,3,Lyttonsville Rd & Lyttonsville Pl,5,-2,40.0
32055,7,Woodmont Ave & Strathmore St,4,3,75.0
32056,4,East West Hwy & 16th St,12,-8,66.66666666666666
32057,4,Pooks Hill Rd & Linden Ave,3,1,33.33333333333333
32058,2,Sligo Ave & Carroll Ln,13,-11,84.61538461538461
32061,2,New Hampshire & Kirklynn Ave,14,-12,85.71428571428571
32062,3,Wheaton Metro / Georgia Ave & Reedie Dr,14,-11,78.57142857142857
32063,3,Amherst Ave & Elkins St,10,-7,70.0
32064,2,Amherst Ave & Prichard Rd,14,-12,85.71428571428571
32065,4,Grandview & Blueridge Ave,12,-8,66.66666666666666
32066,2,Windham Ln & Amherst Ave,13,-11,84.61538461538461
32067,2,Shady Grove Metro East,14,-12,85.71428571428571
32068,2,Columbus Ave & Tribeca St,7,-5,71.42857142857143
32073,1,Blueridge Ave & Elkin St,13,-12,92.3076923076923
32074,4,Twinbrook Metro,14,-10,71.42857142857143
32075,3,North Bethesda Metro,25,-22,88.0
32076,3,Citadel Ave & McGrath Blvd,13,-10,76.92307692307693
