station_id,capacity_peak,station_name,docks_total,diff_peak,ape_peak
31541,7,10th & Quincy St NE / Turkey Thicket Rec,15,-8,53.333333333333336
31542,3,12th & Varnum St NE,1,2,200.0
31543,2,24th St & Rhode Island Ave NE,7,-5,71.42857142857143
31544,2,Michigan Ave & Allison St NE,3,-1,33.33333333333333
31546,3,South Dakota Ave & Decatur St NE ,3,0,0.0
31600,27,5th & K St NW,5,22,440.00000000000006
31601,8,19th & East Capitol St SE,12,-4,33.33333333333333
31602,16,Park Rd & Holmead Pl NW,32,-16,50.0
31603,22,1st & M St NE,1,21,2100.0
31604,12,3rd & H St NW,11,1,9.090909090909092
31605,13,3rd & D St SE,11,2,18.181818181818183
31606,12,Potomac & Pennsylvania Ave SE,5,7,140.0
31607,7,13th & E St SE,9,-2,22.22222222222222
31608,9,8th & Eye St SE / Barracks Row,11,-2,18.181818181818183
31610,20,Eastern Market / 7th & North Carolina Ave SE,12,8,66.66666666666666
31611,20,13th & H St NE,1,19,1900.0
31612,15,D St & Maryland Ave NE,22,-7,31.818181818181817
31615,24,6th & H St NE,6,18,300.0
31616,16,3rd & H St NE,5,11,220.00000000000003
31618,14,4th & East Capitol St NE,5,9,180.0
31619,16,Lincoln Park / 13th & East Capitol St NE ,17,-1,5.88235294117647
31620,14,5th & F St NW,26,-12,46.15384615384615
31621,9,4th & D St NW / Judiciary Square,14,-5,35.714285714285715
31622,16,13th & D St NE,26,-10,38.46153846153847
31623,44,Columbus Circle / Union Station,17,27,158.8235294117647
31624,19,North Capitol St & F St NW,7,12,171.42857142857142
31625,15,3rd & G St SE,6,9,150.0
31626,8,15th St & Massachusetts Ave SE,9,-1,11.11111111111111
31627,23,M St & Delaware Ave NE,16,7,43.75
31628,18,1st & I St SE,2,16,800.0
31629,9,8th & East Capitol St NE,6,3,50.0
31630,9,15th & East Capitol St NE,7,2,28.57142857142857
31631,17,8th & F St NE,14,3,21.428571428571427
31632,14,15th & F St NE,4,10,250.0
31633,31,Independence Ave & L'Enfant Plaza SW/DOE,4,27,675.0
31634,12,3rd & Tingey St SE,10,2,20.0
31635,9,Potomac Ave & 8th St SE,9,0,0.0
31636,14,New Jersey Ave & N St NW/Dunbar HS,8,6,75.0
31638,8,1st & H St NW,5,3,60.0
31639,15,2nd & G St NE,12,3,25.0
31640,13,Maryland Ave & E St NE,14,-1,7.142857142857142
31641,20,2nd St & Massachusetts Ave NE,16,4,25.0
31642,16,New Jersey Ave & K St NW,17,-1,5.88235294117647
31643,16,1st & D St SE,12,4,33.33333333333333
31644,7,12th St & Pennsylvania Ave SE,18,-11,61.111111111111114
31645,13,6th & K St NE,9,4,44.44444444444444
31646,33,Maine Ave & 9th St SW,6,27,450.0
31647,12,7th St & Massachusetts Ave NE,11,1,9.090909090909092
31648,20,Potomac Ave & Half St SW,13,7,53.84615384615385
31649,7,14th & Newton St NW,16,-9,56.25
31650,31,1st & M St SE,22,9,40.909090909090914
31651,13,11th & Park Rd NW,19,-6,31.57894736842105
31652,17,4th & M St SE,15,2,13.333333333333334
31653,19,7th & K St NW,6,13,216.66666666666666
31654,11,King Greenleaf Rec Center,8,3,37.5
31655,21,New Jersey Ave & F St NW,10,11,110.00000000000001
31656,7,Maryland Ave & 17th St NE,12,-5,41.66666666666667
31657,15,Massachusetts Ave & 6th St NE,11,4,36.36363636363637
31658,6,Rosedale Rec Center,3,3,100.0
31659,8,11th & C St SE,10,-2,20.0
31661,11,8th & H St NE,10,1,10.0
31662,23,1st & K St NE,10,13,130.0
31663,9,14th & D St SE,13,-4,30.76923076923077
31664,9,Half & Water St SW,3,6,200.0
31665,4,Stadium Armory Metro,9,-5,55.55555555555556
31666,18,4th & G St SW,5,13,260.0
31667,10,2nd & V St SW / James Creek Marina,6,4,66.66666666666666
31668,23,1st St & Potomac Ave SE,19,4,21.052631578947366
31669,21,3rd & M St SE,19,2,10.526315789473683
31670,12,12th St & New York Ave NW,27,-15,55.55555555555556
31671,1,53rd & D St SE/C.W. Harris Elementary,14,-13,92.85714285714286
31672,12,10th & H St NE,2,10,500.0
31673,12,Waterfront Park,11,1,9.090909090909092
31674,19,Maine Ave & Water St SW,4,15,375.0
31675,11,North Capitol & K St NE,8,3,37.5
31676,12,1st & Q St SW,12,0,0.0
31677,11,1st & L St NW,10,1,10.0
31678,9,4th & O St SW,1,8,800.0
31680,12,Half & I St SW ,3,9,300.0
31699,37,Eastern Market Metro,28,9,32.142857142857146
31700,2,Marion Barry Ave & Naylor Rd SE,19,-17,89.47368421052632
31701,3,Branch & Pennsylvania Ave SE,14,-11,78.57142857142857
31702,2,Randle Circle & Minnesota Ave SE,6,-4,66.66666666666666
31703,4,Minnesota Ave Metro/DOES,10,-6,60.0
31704,2,Nannie Helen Burroughs & Minnesota Ave NE,3,-1,33.33333333333333
31705,4,Benning Branch Library,9,-5,55.55555555555556
31706,2,Fairfax Village,5,-3,60.0
31707,2,Benning Rd & East Capitol St NE / Benning Rd Metro,13,-11,84.61538461538461
31708,6,Anacostia Ave & Benning Rd NE / River Terrace ,13,-7,53.84615384615385
31710,2,Nannie Helen Burroughs Ave & 49th St NE,1,1,100.0
31711,2,Deanwood Rec Center,6,-4,66.66666666666666
31712,8,Oklahoma Ave & D St NE,10,-2,20.0
31713,2,Division Ave & Foote St NE,5,-3,60.0
31714,3,61st St & Banks Pl NE,11,-8,72.72727272727273
31715,4,37th & Ely Pl SE,10,-6,60.0
31716,7,Kingman Island/The Fields at RFK,5,2,40.0
31717,3,Kenilworth Terr & Hayes St. NE,9,-6,66.66666666666666
31718,3,Ridge Rd Community Center,13,-10,76.92307692307693
31720,7,Anacostia Roller Skating Pavilion,17,-10,58.82352941176471
31721,8,Anacostia Ave & East Capitol St NE,9,-1,11.11111111111111
31722,2,Woody Ward Rec Center,15,-13,86.66666666666667
31723,1,Ridge Rd & Southern Ave SE,11,-10,90.9090909090909
31724,1,41st St & Alabama Ave SE / Fort Davis Rec,8,-7,87.5
31725,7,16th St & North Carolina Ave NE,11,-4,36.36363636363637
31726,2,34th St & Minnesota Ave SE,7,-5,71.42857142857143
31727,10,17th St & Potomac Ave SE / Congressional Cemetery ,17,-7,41.17647058823529
31728,2,55th & East Capitol St NE,7,-5,71.42857142857143
31800,1,Alabama & MLK Ave SE,7,-6,85.71428571428571
31801,4,Anacostia Metro,6,-2,33.33333333333333
31802,4,MLK & Marion Barry Ave SE,2,2,100.0
31803,3,14th St & Marion Barry Ave SE,2,1,50.0
31804,3,Anacostia Library,9,-6,66.66666666666666
31805,3,Pennsylvania & Minnesota Ave SE,3,0,0.0
31806,4,Congress Heights Metro,14,-10,71.42857142857143
31808,2,W St & Shannon Pl SE,4,-2,50.0
31811,2,South Capitol & Atlantic St SW,16,-14,87.5
31812,4,16th & Q St SE / Anacostia HS,12,-8,66.66666666666666
31813,5,Alabama Ave & Stanton Rd SE / Shops at Park Village,12,-7,58.333333333333336
31814,2,Mississippi Ave & 19th St SE / THEARC,8,-6,75.0
31815,2,19th & Savannah St SE,8,-6,75.0
31816,2,4th St & Mississippi Ave SE,14,-12,85.71428571428571
31817,4,1st & S Capitol St SE / Oxon Run Trail,1,3,300.0
31818,1,Livingston Rd & 3rd St SE,10,-9,90.0
31819,1,Joliet St & MLK Ave SW/Bald Eagle Rec Ctr,4,-3,75.0
31820,4,Anacostia Park,4,0,0.0
31822,1,Stanton Square SE,17,-16,94.11764705882352
31824,3,Valley Ave & Wheeler Rd SE,4,-1,25.0
31825,1,Fort Stanton Rec Center,14,-13,92.85714285714286
31826,3,Minnesota Ave & R St SE,16,-13,81.25
31827,11,St. Elizabeths West Campus/DHS ,19,-8,42.10526315789473
31829,3,16th & Bangor St SE,11,-8,72.72727272727273
31831,2,25th & S St SE ,7,-5,71.42857142857143
31900,3,Langston Blvd & N Woodstock St,13,-10,76.92307692307693
31901,3,Washington Blvd & N Frederick St,9,-6,66.66666666666666
31902,6,Wilson Blvd & N Illinois St ,8,-2,25.0
31903,3,Royal St & Wilkes St,1,2,200.0
31904,7,East Falls Church Metro / Sycamore St & 19th St N,16,-9,56.25
31905,2,Kennebec St & 11th St N,6,-4,66.66666666666666
31906,2,Commonwealth Ave & Oak St,12,-10,83.33333333333334
31908,3,Radford & Osage St,10,-7,70.0
31909,6,Mount Vernon Ave & Four Mile Run Park,13,-7,53.84615384615385
31910,6,Potomac Ave & Main Line Blvd,15,-9,60.0
31912,3,Mount Vernon Ave & Bruce St,10,-7,70.0
31914,3,Lee Center,9,-6,66.66666666666666
31915,4,Powhatan St & Bashford Ln,8,-4,50.0
31916,4,Potomac Ave & Swann Ave,16,-12,75.0
31917,9,N Lynn St & Fairfax Dr,10,-1,10.0
31918,8,Madison St & Fairfax St,12,-4,33.33333333333333
31919,5,Carlin Springs Rd & N Thomas St,5,0,0.0
31920,7,Washington-Liberty High School / N Stafford St & Generals Way,10,-3,30.0
31921,2,Westover Library / Washington Blvd & N McKinley Rd,9,-7,77.77777777777779
31923,3,Columbia Pike & S George Mason Dr,9,-6,66.66666666666666
31924,6,Wilson Blvd & N Troy St,9,-3,33.33333333333333
31926,4,Wilson Blvd & N Vermont St,11,-7,63.63636363636363
31927,3,Wheeler Ave & S. Floyd St.,8,-5,62.5
31928,3,N. Beauregard St. & Berkley St.,13,-10,76.92307692307693
31929,5,Mt Vernon Trail & S. Washington St.,2,3,150.0
31930,4,Eisenhower Ave & Ike Dr,14,-10,71.42857142857143
31931,5,N Pitt St & Montgomery St,4,1,25.0
31932,2,Van Dorn Metro,6,-4,66.66666666666666
31933,5,Duke St & Strand (Robinson Terminal),3,2,66.66666666666666
31935,6,National Airport,13,-7,53.84615384615385
31936,4,Army Navy Dr & Fern St,10,-6,60.0
31937,5,Arlington Blvd & Ft Myer Dr,9,-4,44.44444444444444
31938,4,23rd St S & Hayes St,8,-4,50.0
31939,6,Wilson Blvd & N Oak St,11,-5,45.45454545454545
31940,5,Arlington Blvd & Fairfax Dr,10,-5,50.0
31941,2,N Hampton Dr & Ford Ave,6,-4,66.66666666666666
31942,2,Whiting & Lane Dr,7,-5,71.42857142857143
31943,2,N Howard St & Taney Ave,9,-7,77.77777777777779
31944,3,S Clark St & 33rd St,4,-1,25.0
