station_id,station_name,docks_total
31290.0,17th St & Independence Ave SW,5
31291.0,Vermont Ave & I St NW,14
31292.0,22nd St & Constitution Ave NW,16
31293.0,Thomas Jefferson St NW & Water/K St NW,5
31294.0,7th & E St SW,10
31295.0,Potomac & M St NW,4
31296.0,Columbia & Ontario Rd NW,8
31297.0,Virginia Ave & 25th St NW,0
31298.0,15th & M St NW,10
31299.0,Connecticut Ave & R St NW,12
31300.0,Van Ness Metro / UDC,11
31301.0,Ward Circle / American University,14
31302.0,Wisconsin Ave & Newark St NW,19
31303.0,Tenleytown / Wisconsin Ave & Albemarle St NW,12
31304.0,36th & Calvert St NW / Glover Park,7
31305.0,Connecticut Ave & Macomb St NW / Cleveland Park,8
31306.0,39th & Calvert St NW / Stoddert,10
31307.0,3000 Connecticut Ave NW / National Zoo,5
31308.0,39th & Veazey St NW,7
31309.0,Fessenden St & Wisconsin Ave NW,11
31310.0,Connecticut & Nebraska Ave NW,11
31311.0,13th & O St NW/ Logan Circle,16
31312.0,Wisconsin Ave & O St NW,9
31313.0,Connecticut Ave & Tilden St NW,7
31314.0,34th & Water St NW,8
31315.0,Connecticut Ave & McKinley St NW,19
31316.0,Yuma St & Tenley Circle NW,19
31317.0,Wisconsin Ave & Ingomar St NW,17
31318.0,Connecticut Ave & Yuma St NW,9
31319.0,Wisconsin Ave & Brandywine St NW,24
31320.0,American University East Campus,15
31321.0,15th St & Constitution Ave NW,18
31322.0,48th Pl & MacArthur Blvd NW,0
31323.0,Woodley Park Metro / Calvert St & Connecticut Ave NW,11
31324.0,18th & New Hampshire Ave NW,18
31325.0,Reservoir Rd & 38th St NW,13
31326.0,Hardy Rec Center,9
31327.0,14th & Q St NW,14
31328.0,21st St & G st NW,12
31330.0,17th & P St NW,14
31331.0,Arizona Ave & MacArthur Blvd NW,3
31332.0,11th & V St NW,13
31333.0,Wisconsin Ave & Rodman St NW,17
31334.0,Loughboro Rd & Dalecarlia Pkwy NW / Sibley Hospital,18
31335.0,16th & K St NW/BLM Plaza,32
31336.0,9th & N St NW ,18
31337.0,33rd St & Wisconsin Ave NW,6
31338.0,Connecticut Ave & Ordway St NW / Cleveland Park Metro ,7
31339.0,18th St & Ingleside Ter NW,1
31340.0,North Capitol & Douglas St NW / Reservoir Park Rec ,17
31380.0,Sunrise Valley Dr & Roland Clarke Pl,6
31381.0,Westbranch Dr & Maitland St,8
31383.0,N Shore Dr & Bandit Loop,2
31385.0,Old Meadow Rd & Old Meadow Ln,11
31386.0,Prosperity Ave & Avenir Pl,10
31387.0,Kingsbridge Dr & Draper Dr,6
31389.0,Route 29 & Circle Woods Dr,6
31390.0,Whitehaven Pkwy & Foxhall Rd NW / GWU Mt. Vernon,14
31391.0,44th St & New Mexico Ave NW,14
31392.0,39th St & Tunlaw Rd NW,12
31393.0,Wisconsin Ave & Upton St NW,14
31394.0,New Mexico & Cathedral Ave NW,15
31395.0,Massachusetts & Idaho Ave NW,8
